2
6000 7
0 1 1000
0 2 1000
0 3 1000
0 4 1000
0 5 10000
0 6 10000
1 2 6500
1 3 6500
1 4 6500
1 5 10000
1 6 10000
2 3 6500
2 4 6500
2 5 1000
2 6 10000
3 4 6500
3 5 1000
3 6 10000
4 5 1000
4 6 1000
5 6 10000
10 11
0 1 1000 
0 2 1000
0 3 1
0 4 2
0 5 2
0 6 2
0 7 2
0 8 2
0 9 2
0 10 2
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
2 3 100
2 4 100
2 5 100
2 6 100
2 7 100
2 8 100
2 9 100
2 10 100
3 4 100
3 5 100
3 6 100
3 7 100
3 8 100
3 9 100
3 10 100
4 5 100
4 6 100
4 7 100
4 8 100 
4 9 100
4 10 2
5 6 100
5 7 100
5 8 100
5 9 100
5 10 100
6 7 100
6 8 100
6 9 100
6 10 100
7 8 100
7 9 100
7 10 100
8 9 100
8 10 100
9 10 100
